N_count,S_count,E_count,W_count,N_queue,S_queue,E_queue,W_queue,N_arrival,S_arrival,E_arrival,W_arrival,N_speed,S_speed,E_speed,W_speed,N_queue_growth,S_queue_growth,E_queue_growth,W_queue_growth,current_phase,elapsed_phase_time,scenario_id,cycle_idx,archetype,true_N_rate,true_S_rate,true_E_rate,true_W_rate,target_plan,best_delay
2.0,6.0,21.0,9.0,0.0,0.0,16.0,3.0,2.0,8.0,36.0,18.0,0.25,2.97,11.34,11.18,-2.0,-3.0,6.0,1.0,0.0,0.0,32,1,heavy_ew,6.2,9.0,40.5,28.4,P1,38.65
5.0,7.0,34.0,27.0,0.0,0.0,28.0,22.0,2.0,8.0,30.0,34.0,0.25,1.04,11.3,10.61,-5.0,-4.0,3.0,9.0,0.0,0.0,32,2,heavy_ew,6.2,9.0,40.5,28.4,P1,58.47
6.0,12.0,60.0,49.0,0.0,0.0,55.0,45.0,8.0,6.0,44.0,40.0,1.73,0.76,10.78,10.49,-4.0,-11.0,8.0,5.0,0.0,0.0,32,3,heavy_ew,6.2,9.0,40.5,28.4,P1,79.36
9.0,10.0,19.0,14.0,0.0,0.0,14.0,8.0,10.0,8.0,42.0,20.0,2.64,1.39,10.38,11.22,-6.0,-8.0,7.0,-2.0,0.0,0.0,34,1,moderate_ew,10.2,10.1,25.5,23.4,P1,36.89
13.0,10.0,24.0,22.0,0.0,0.0,18.0,16.0,10.0,10.0,28.0,34.0,1.35,1.21,11.01,10.81,-11.0,-7.0,-1.0,3.0,0.0,0.0,34,2,moderate_ew,10.2,10.1,25.5,23.4,P1,47.85
10.0,13.0,33.0,26.0,0.0,0.0,28.0,22.0,6.0,10.0,20.0,18.0,0.25,0.71,10.76,10.34,-10.0,-11.0,-2.0,2.0,0.0,0.0,34,3,moderate_ew,10.2,10.1,25.5,23.4,P1,53.21
13.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,16.0,20.0,16.0,10.0,3.65,0.33,12.28,12.71,-5.0,-12.0,-1.0,0.0,0.0,0.0,35,1,slight_ns,19.4,17.2,14.3,15.1,P5,15.43
15.0,10.0,3.0,8.0,0.0,0.0,0.0,2.0,22.0,12.0,10.0,26.0,3.4,2.55,14.03,10.72,-8.0,-6.0,0.0,0.0,0.0,0.0,35,2,slight_ns,19.4,17.2,14.3,15.1,P4,15.74
20.0,14.0,3.0,3.0,2.0,0.0,1.0,1.0,24.0,18.0,16.0,12.0,1.53,2.55,11.07,13.49,-11.0,-8.0,1.0,1.0,0.0,0.0,35,3,slight_ns,19.4,17.2,14.3,15.1,P6,15.05
7.0,13.0,4.0,9.0,0.0,0.0,1.0,3.0,10.0,20.0,16.0,24.0,3.09,5.95,12.48,10.29,-4.0,-4.0,1.0,0.0,0.0,0.0,36,1,slight_ew,15.7,13.9,19.8,22.6,P3,16.68
